Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 4 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 4 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 1(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,587.2038797939422,0,6463.309878349093,0,0,0,0,0,0,0,0,0,0,-0.4616753506434056,-0.31157906279590164,-0.31157906279590164,-0.8625055385929161,-0.8901552988099443,9.449337217065477,7.017917264099253,7.017917264099253,20.70129672809945,21.72988156179838,587.2038797939422,587.2038797939422,0.0,652.4487553266024,0.0,587.2038797939422,652.4487553266024
2019/01/01 02:00:00,395.82415289508333,0,498.7994351554384,0,0,0,0,0,0,0,0,0,0,-0.2892855829992203,0.24428677821163192,0.24428677821163192,-0.8530740674682695,-0.877830884316244,6.738548358519225,6.23852318967343,6.23852318967343,20.357656159586966,21.26752535648444,395.82415289508333,395.82415289508333,0.0,439.80461432787035,0.0,395.82415289508333,439.80461432787035
2019/01/01 03:00:00,450.8355005101158,0,633.136270794553,0,0,0,0,0,0,0,0,0,0,-0.30340967896383136,0.38161816595758363,0.38161816595758363,-0.9027235574612571,-0.9322129232315888,6.913103811628531,8.032757384776403,8.032757384776403,22.20777381717393,23.354149992953623,450.8355005101158,450.8355005101158,0.0,500.9283339001287,0.0,450.8355005101158,500.9283339001287
2019/01/01 04:00:00,395.86232151041906,0,633.5332413405795,0,0,0,0,0,0,0,0,0,0,-0.30555066250870133,0.4478057912548267,0.4478057912548267,-0.8842892178895945,-0.9118751019491096,6.940299647401687,9.184218038808382,9.184218038808382,21.509036829435814,22.559784502987213,395.86232151041906,395.86232151041906,0.0,439.8470239004656,0.0,395.86232151041906,439.8470239004656
2019/01/01 05:00:00,595.6965364773366,0,1055.2271179909214,0,0,0,0,0,0,0,0,0,0,-0.3072720817143404,0.5437817314268525,0.5437817314268525,-0.819703932411732,-0.8388382593087957,6.962306605161544,11.18883370630094,11.18883370630094,19.17155435733565,19.84596900487189,595.6965364773366,595.6965364773366,0.0,661.885040530374,0.0,595.6965364773366,661.885040530374
2019/01/01 06:00:00,1497.5745688203097,0,2837.163809679635,0,0,0,0,0,0,0,0,0,0,-0.27771001502370996,0.6771142531841545,0.6771142531841545,-0.9070452287734345,-0.9314055389986219,6.601770606366699,14.635951061363627,14.635951061363627,22.373582863717402,23.322298955480136,1497.5745688203097,1497.5745688203097,0.0,1663.9717431336774,0.0,1497.5745688203097,1663.9717431336774
2019/01/01 07:00:00,1446.4931057517008,0,8707.158457505446,0,0,0,0,0,0,0,0,0,0,-0.10401758505230768,0.35704403979965826,0.35704403979965826,-0.8366975058692225,-0.8554996928561155,5.224080532987415,7.652928297686273,7.652928297686273,19.769753550278026,20.44568272635354,1446.4931057517008,1446.4931057517008,0.0,1607.2145619463342,0.0,1446.4931057517008,1607.2145619463342
2019/01/01 08:00:00,2185.7181334395495,0,17428.70479119861,0,0,0,0,0,0,0,0,0,0,-0.027341354380528822,0.7104996439430724,0.7104996439430724,-0.873693932993996,-0.856880742353644,5.015475171231515,15.619671314900671,15.619671314900671,21.11372285553631,20.495910459683415,2185.7181334395495,2185.7181334395495,0.0,2428.5757038217216,0.0,2185.7181334395495,2428.5757038217216
2019/01/01 09:00:00,2439.65371738854,0,17122.580580481517,0,0,0,0,0,0,0,0,0,0,-0.3834379693137296,-0.12464919237410832,-0.12464919237410832,-0.6193287470849121,-0.6219884386672186,8.061909462802674,5.321854918496939,5.321854918496939,13.04729768338754,13.117239408855923,2439.65371738854,2439.65371738854,0.0,2710.726352653933,0.0,2439.65371738854,2710.726352653933
2019/01/01 10:00:00,2681.2811611445877,0,16959.4257230074,0,0,0,0,0,0,0,0,0,0,-0.4026176450697788,0.01050922760213501,0.01050922760213501,-0.5975654605829986,-0.6006745001915594,8.377760446603318,5.002286254566812,5.002286254566812,12.486523750068102,12.565375724863927,2681.2811611445877,2681.2811611445877,0.0,2979.201290160653,0.0,2681.2811611445877,2979.201290160653
2019/01/01 11:00:00,3113.326558994743,0,18148.248229115634,0,0,0,0,0,0,0,0,0,0,-0.40870853325383283,0.02848418746121501,0.02848418746121501,-0.577458960814942,-0.5802112430478921,8.481357122360407,5.016795940579584,5.016795940579584,11.986708218552153,12.05408922557362,3113.326558994743,3113.326558994743,0.0,3459.2517322163812,0.0,3113.326558994743,3459.2517322163812
2019/01/01 12:00:00,3292.577229284167,0,17868.1248051343,0,0,0,0,0,0,0,0,0,0,-0.40499325806227104,0.05090336531282978,0.05090336531282978,-0.562852393692875,-0.5653273853888199,8.417977064608777,5.053644389466854,5.053644389466854,11.63461222167929,11.693621475541931,3292.577229284167,3292.577229284167,0.0,3658.4191436490746,0.0,3292.577229284167,3658.4191436490746
2019/01/01 13:00:00,3044.2367981115913,0,16803.237065302354,0,0,0,0,0,0,0,0,0,0,-0.37433971473439936,0.16883908641766532,0.16883908641766532,-0.5576718336913397,-0.560139612766978,7.917574519893307,5.590845135406028,5.590845135406028,11.511956247730623,11.570238723131595,3044.2367981115913,3044.2367981115913,0.0,3382.4853312351015,0.0,3044.2367981115913,3382.4853312351015
2019/01/01 14:00:00,3089.708751360848,0,15601.092479133033,0,0,0,0,0,0,0,0,0,0,-0.3030639255454162,0.24245418441715336,0.24245418441715336,-0.548370874448628,-0.5506484141462278,6.908730063595229,6.219965070679805,6.219965070679805,11.294664892238018,11.347526625398586,3089.708751360848,3089.708751360848,0.0,3433.0097237342757,0.0,3089.708751360848,3433.0097237342757
2019/01/01 15:00:00,2863.823752891001,0,15964.514027365507,0,0,0,0,0,0,0,0,0,0,-0.33160500481510846,0.22482243468678523,0.22482243468678523,-0.5383978788291606,-0.5407828139836428,7.286808435487728,6.048617068144523,6.048617068144523,11.065838901882032,11.120168107941097,2863.823752891001,2863.823752891001,0.0,3182.026392101112,0.0,2863.823752891001,3182.026392101112
2019/01/01 16:00:00,2757.219696445869,0,16640.57127962774,0,0,0,0,0,0,0,0,0,0,-0.37325761205759167,0.14372865401469045,0.14372865401469045,-0.5292312743074138,-0.5315705085703193,7.900643036363064,5.428021614941116,5.428021614941116,10.85931551241562,10.911672570203848,2757.219696445869,2757.219696445869,0.0,3063.57744049541,0.0,2757.219696445869,3063.57744049541
2019/01/01 17:00:00,3013.0335170023745,0,17241.627186028298,0,0,0,0,0,0,0,0,0,0,-0.39500438195681514,0.09899706444269428,0.09899706444269428,-0.5219164133901715,-0.5236018026243484,8.250502881168558,5.20296239744529,5.20296239744529,10.697121992884519,10.73428703264402,3013.0335170023745,3013.0335170023745,0.0,3347.815018891527,0.0,3013.0335170023745,3347.815018891527
2019/01/01 18:00:00,3084.141221683378,0,17605.150577191078,0,0,0,0,0,0,0,0,0,0,-0.38868175402741567,0.1312948909488071,0.1312948909488071,-0.535654209303549,-0.5378302532439301,8.146702437234481,5.357116084123874,5.357116084123874,11.003642460107145,11.052944603371856,3084.141221683378,3084.141221683378,0.0,3426.8235796481977,0.0,3084.141221683378,3426.8235796481977
2019/01/01 19:00:00,2844.735694102571,0,16974.351303414067,0,0,0,0,0,0,0,0,0,0,-0.3622085098722288,0.1966131613063881,0.1966131613063881,-0.5523607450381863,-0.5545439776313884,7.73061674822587,5.801572929830854,5.801572929830854,11.387417927980223,11.438463939059872,2844.735694102571,2844.735694102571,0.0,3160.8174378917456,0.0,2844.735694102571,3160.8174378917456
2019/01/01 20:00:00,2701.9350686905223,0,14755.900808279963,0,0,0,0,0,0,0,0,0,0,-0.3034500221796703,0.2479542079191417,0.2479542079191417,-0.5718522238013265,-0.5761266161522427,6.913614478883574,6.276085856972244,6.276085856972244,11.8504615402001,11.954207997538347,2701.9350686905223,2701.9350686905223,0.0,3002.1500763228023,0.0,2701.9350686905223,3002.1500763228023
2019/01/01 21:00:00,2785.965051674316,0,16851.29905399883,0,0,0,0,0,0,0,0,0,0,-0.3019436156172385,0.23637179823616064,0.23637179823616064,-0.7425743454827445,-0.7634155109307259,6.894592979463567,6.159381481069374,6.159381481069374,16.61002829511021,17.277198449282352,2785.965051674316,2785.965051674316,0.0,3095.516724082573,0.0,2785.965051674316,3095.516724082573
2019/01/01 22:00:00,2490.381438177515,0,14814.799059947327,0,0,0,0,0,0,0,0,0,0,-0.31329971701880155,0.2104805483790769,0.2104805483790769,-0.5777522970391146,-0.5818599434948011,7.040353436718306,5.918854108836371,5.918854108836371,11.99387398862605,12.094609909152837,2490.381438177515,2490.381438177515,0.0,2767.0904868639054,0.0,2490.381438177515,2767.0904868639054
2019/01/01 23:00:00,1755.3171470830998,0,13576.603125535577,0,0,0,0,0,0,0,0,0,0,-0.3821307502772023,0.07628031691675298,0.07628031691675298,-0.7279896335673445,-0.744262425505745,8.040954351300172,5.1204811087456505,5.1204811087456505,16.15421698960472,16.663374917179908,1755.3171470830998,1755.3171470830998,0.0,1950.3523856478887,0.0,1755.3171470830998,1950.3523856478887
2019/01/02 00:00:00,1119.6932958295108,0,12341.850564063358,0,0,0,0,0,0,0,0,0,0,-0.43019759406270464,-0.12786221020077612,-0.12786221020077612,-0.8332679609131848,-0.8579654587803932,8.859550966034334,5.338673455392396,5.338673455392396,19.648053701009744,20.535416246284896,1119.6932958295108,1119.6932958295108,0.0,1244.1036620327898,0.0,1119.6932958295108,1244.1036620327898
2019/01/02 01:00:00,587.1774026502719,0,6464.658775497701,0,0,0,0,0,0,0,0,0,0,-0.4622261718612906,-0.3119465106920239,-0.3119465106920239,-0.8645884720825271,-0.8917772960652743,9.460037227147993,7.022698011161879,7.022698011161879,20.77768615652586,21.791194296003994,587.1774026502719,587.1774026502719,0.0,652.4193362780799,0.0,587.1774026502719,652.4193362780799
2019/01/02 02:00:00,395.8303026070602,0,513.6460562546107,0,0,0,0,0,0,0,0,0,0,-0.2907014692149514,0.24296694879912636,0.24296694879912636,-0.8641848455830561,-0.8890839147453821,6.755666763296247,6.2251434654015725,6.2251434654015725,20.76286955873296,21.68944134618016,395.8303026070602,395.8303026070602,0.0,439.811447341178,0.0,395.8303026070602,439.811447341178
2019/01/02 03:00:00,450.8355005016887,0,633.136270794553,0,0,0,0,0,0,0,0,0,0,-0.30625262980373286,0.37133253729600346,0.37133253729600346,-0.9856025017449047,-1.0227595085188308,6.949258595140606,7.870645151776657,7.870645151776657,25.517377555380378,27.087716636884977,450.8355005016887,450.8355005016887,0.0,500.92833389076526,0.0,450.8355005016887,500.92833389076526
2019/01/02 04:00:00,395.86232593205636,0,624.5535049180547,0,0,0,0,0,0,0,0,0,0,-0.30814676125404367,0.4249483451496107,0.4249483451496107,-0.9738438040581407,-1.0080380992760953,6.973536718694248,8.765339597255235,8.765339597255235,25.031389221343005,26.45932378201823,395.86232593205636,395.86232593205636,0.0,439.8470288133959,0.0,395.86232593205636,439.8470288133959
