Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature,ElectricityProduced:Total,Electricity:Load:Total,Electricity:Grid:ToLoad,Electricity:Grid:ToBattery,Electricity:Storage:ToLoad,Electricity:Storage:ToGrid,Electricity:Storage:StateOfCharge,ElectricityProduced:Generator:Total,ElectricityProduced:Generator:ToBattery,ElectricityProduced:Generator:ToLoad,ElectricityProduced:Generator:ToGrid,ElectricityProduced:PV:Total,ElectricityProduced:PV:ToBattery,ElectricityProduced:PV:ToLoad,ElectricityProduced:PV:ToGrid,ElectricityProduced:Wind:Total,ElectricityProduced:Wind:ToBattery,ElectricityProduced:Wind:ToLoad,ElectricityProduced:Wind:ToGrid
356.2683335728992,0,578.8110522500923,0,0,0,0,0,0,0,0,0,0,0.0,101.73,101.73,74.6617,0.0,0,1.00000164363118,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
347.1179181296751,0,681.0418780819572,0,0,0,0,0,0,0,0,0,0,0.0,100.339,100.339,0.0,0.0,0,1.00000164363118,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
342.3706912829411,0,585.679962501441,0,0,0,0,0,0,0,0,0,0,0.0,99.5947,99.5947,0.0,0.0,0,1.00000164363118,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
339.83137523665187,0,387.3948387644043,0,0,0,0,0,0,0,0,0,0,0.0,102.972,102.972,0.0,0.0,0,1.00000164363118,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
351.35392473865465,0,567.5892257659925,0,0,0,0,0,0,0,0,0,0,0.0,112.119,112.119,0.0,0.0,0,1.00000164363118,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
382.56590414058763,0,357.2215577706606,0,0,0,0,0,0,0,0,0,0,0.0,237.604,190.208,0.0,47.3955,0,0.835638526057307,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
810.7387850303444,0,452.96516300209566,0,0,0,0,0,0,0,0,0,0,0.0,190.308,190.208,0.0,0.0990497,0,0.835296650772753,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
649.3563984405181,0,482.2183525443314,0,0,0,0,0,0,0,0,0,0,0.0,224.855,190.208,0.0,34.6465,0,0.715147211826255,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
767.2371932090168,0,517.4838245851904,0,0,0,0,0,0,0,0,0,0,0.450148,164.297,164.297,25.9119,0.0,0,0.797292610727323,0,0,0,0,0.450148,0.450148,0.0,0.0,0,0,0,0
560.6033137295076,0,440.59716712372716,0,0,0,0,0,0,0,0,0,0,2.0798,165.024,165.024,25.1845,0.0,0,0.882251906201256,0,0,0,0,2.0798,2.0798,0.0,0.0,0,0,0,0
563.0854514642813,0,489.8457092187083,0,0,0,0,0,0,0,0,0,0,13.5614,164.96,164.43,0.0,0.0,0,0.922859458029056,0,0,0,0,13.5614,13.0319,0.529526,0.0,0,0,0,0
562.8659448967194,0,540.9686004340438,0,0,0,0,0,0,0,0,0,0,2.9516,163.108,160.156,0.0,0.0,0,0.922859458029056,0,0,0,0,2.9516,0.0,2.9516,0.0,0,0,0,0
