Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 4 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 4 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 1(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/06/01 00:15:00,93.51861600337871,0,105.52271179909216,0,0,0,0,0,0,0,0,0,0,0.17111124948519496,0.7953009828470438,0.7953009828470438,0.6670039263730353,0.6514249973980603,5.6068751564442465,18.333792082622026,18.333792082622026,14.347551238919976,13.911824613195904,93.51861600337871,374.07446401351484,0.0,415.6382933483498,0.0,374.07446401351484,415.6382933483498
2019/06/01 00:30:00,93.51861600337871,0,105.52271179909216,0,0,0,0,0,0,0,0,0,0,0.17711828182449912,0.8453695704981977,0.8453695704981977,0.6678083569324041,0.6473970554194297,5.650291935636659,20.079680114416107,20.079680114416107,14.37033579441345,13.80087852258363,93.51861600337871,374.07446401351484,0.0,415.6382933483498,0.0,374.07446401351484,415.6382933483498
2019/06/01 00:45:00,93.57012212794615,0,105.52271179909216,0,0,0,0,0,0,0,0,0,0,0.15638252629388202,0.8456467669408386,0.8456467669408386,0.66787673785084,0.6396267375009945,5.506789437925846,20.089638435979424,20.089638435979424,14.372273896264403,13.588839486775782,93.57012212794615,374.2804885117846,0.0,415.8672094575384,0.0,374.2804885117846,415.8672094575384
2019/06/01 01:00:00,93.51861600337871,0,105.52271179909216,0,0,0,0,0,0,0,0,0,0,0.14194297908156386,0.843929532198571,0.843929532198571,0.6675045369292995,0.629891136012038,5.417442923097482,20.02799806001819,20.02799806001819,14.361727154736428,13.326867079292555,93.51861600337871,374.07446401351484,0.0,415.6382933483498,0.0,374.07446401351484,415.6382933483498
2019/06/01 01:15:00,107.31340806560159,0,158.28406769863824,0,0,0,0,0,0,0,0,0,0,0.13908159279217033,0.8564055067518217,0.8564055067518217,0.6671868494660526,0.619500188528932,5.400768204539588,20.478617568914174,20.478617568914174,14.352729860179593,13.051796811291965,107.31340806560159,429.25363226240637,0.0,476.94848029156265,0.0,429.25363226240637,476.94848029156265
2019/06/01 01:30:00,107.26190633184166,0,158.28406769863824,0,0,0,0,0,0,0,0,0,0,0.14545881261074217,0.8845948506184778,0.8845948506184778,0.6673735301900207,0.611630900582754,5.438398017539342,21.520508444018375,21.520508444018375,14.358016355338421,12.846597968166535,107.26190633184166,429.04762532736663,0.0,476.71958369707403,0.0,429.04762532736663,476.71958369707403
2019/06/01 01:45:00,107.31340366625905,0,158.28406769863824,0,0,0,0,0,0,0,0,0,0,0.15230577434296716,0.9128810882361563,0.9128810882361563,0.6681268381240851,0.6063189861900524,5.480684347774712,22.59868594390666,22.59868594390666,14.379364145127226,12.709604321128978,107.31340366625905,429.2536146650362,0.0,476.9484607389291,0.0,429.2536146650362,476.9484607389291
2019/06/01 02:00:00,107.26190633184166,0,158.28406769863824,0,0,0,0,0,0,0,0,0,0,0.15600575558110122,0.9332837363176235,0.9332837363176235,0.6691811902265182,0.6025040625043063,5.504347785105509,23.396433312344485,23.396433312344485,14.409284408264767,12.611973461502117,107.26190633184166,429.04762532736663,0.0,476.71958369707403,0.0,429.04762532736663,476.71958369707403
2019/06/01 02:15:00,93.57010892992598,0,105.52271179909216,0,0,0,0,0,0,0,0,0,0,0.15724785354495333,0.9462969853077431,0.9462969853077431,0.6703428010945687,0.5995161203488819,5.51241955989677,23.913931872155345,23.913931872155345,14.442304172704624,12.535947669667806,93.57010892992598,374.2804357197039,0.0,415.867150799671,0.0,374.2804357197039,415.867150799671
2019/06/01 02:30:00,93.51861600337871,0,105.52271179909216,0,0,0,0,0,0,0,0,0,0,0.1540746739631834,0.9491986493090669,0.9491986493090669,0.6714152372010207,0.5965250141668468,5.4919262962852144,24.030236988659368,24.030236988659368,14.472840933551453,12.460229464615495,93.51861600337871,374.07446401351484,0.0,415.6382933483498,0.0,374.07446401351484,415.6382933483498
