Electricity:Facility,ElectricityProduced:Facility,Gas:Facility,DistrictCooling:Facility,DistrictHeating:Facility,District Cooling Chilled Water Rate,District Cooling Mass Flow Rate,District Cooling Inlet Temperature,District Cooling Outlet Temperature,District Heating Hot Water Rate,District Heating Mass Flow Rate,District Heating Inlet Temperature,District Heating Outlet Temperature,ElectricityProduced:Total,Electricity:Load:Total,Electricity:Grid:ToLoad,Electricity:Grid:ToBattery,Electricity:Storage:ToLoad,Electricity:Storage:ToGrid,Electricity:Storage:StateOfCharge,ElectricityProduced:Generator:Total,ElectricityProduced:Generator:ToBattery,ElectricityProduced:Generator:ToLoad,ElectricityProduced:Generator:ToGrid,ElectricityProduced:PV:Total,ElectricityProduced:PV:ToBattery,ElectricityProduced:PV:ToLoad,ElectricityProduced:PV:ToGrid,ElectricityProduced:Wind:Total,ElectricityProduced:Wind:ToBattery,ElectricityProduced:Wind:ToLoad,ElectricityProduced:Wind:ToGrid
3062.431934969319,0,6463.291415993747,0,0,0,0,0,0,0,0,0,0,0.0,618.272,618.272,177.509,0.0,0,0.999997353445995,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2109.630758544482,0,498.81108532620004,0,0,0,0,0,0,0,0,0,0,0.0,673.245,673.245,0.0,0.0,0,0.999997353445995,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2297.206811126467,0,633.136270794553,0,0,0,0,0,0,0,0,0,0,0.0,687.77,687.77,0.0,0.0,0,0.999997353445995,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
2346.769618198949,0,633.547671782474,0,0,0,0,0,0,0,0,0,0,0.0,1090.68,1090.68,0.0,0.0,0,0.999997353445995,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
3721.564986945656,0,1055.2271179909214,0,0,0,0,0,0,0,0,0,0,0.0,1856.42,1856.42,0.0,0.0,0,0.999997353445995,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
6334.357431266539,0,4844.524988792476,0,0,0,0,0,0,0,0,0,0,0.0,2298.06,2298.06,0.0,0.0,0,0.999997353445995,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
7841.30043244662,0,9102.406076007737,0,0,0,0,0,0,0,0,0,0,0.0,2370.13,2370.13,0.0,0.0,0,0.999997353445995,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
8087.237738139986,0,18325.132204783,0,0,0,0,0,0,0,0,0,0,0.0,2690.51,2690.51,0.0,0.0,0,0.999997353445995,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
9180.419125840672,0,18909.936307283577,0,0,0,0,0,0,0,0,0,0,27.5759,2926.32,2898.74,0.0,0.0,0,0.999997353445995,0,0,0,0,27.5759,0.0,27.5759,0.0,0,0,0,0
9985.010047424274,0,17913.235774575838,0,0,0,0,0,0,0,0,0,0,127.408,3449.91,3322.5,0.0,0.0,0,0.999997353445995,0,0,0,0,127.408,0.0,127.408,0.0,0,0,0,0
11771.587042627789,0,18647.487591925856,0,0,0,0,0,0,0,0,0,0,830.768,3615.36,2784.59,0.0,0.0,0,0.999997353445995,0,0,0,0,830.768,0.0,830.768,0.0,0,0,0,0
12336.128389143549,0,17834.85553020666,0,0,0,0,0,0,0,0,0,0,180.814,3328.67,3147.86,0.0,0.0,0,0.999997353445995,0,0,0,0,180.814,0.0,180.814,0.0,0,0,0,0
