Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 4 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 4 THERMALZONE OFFICE WHOLEBUILDING - MD OFFICE PEOPLE 1(),REopt:ElectricityProduced:Total(kw),REopt:Electricity:Load:Total(kw),REopt:Electricity:Grid:ToLoad(kw),REopt:Electricity:Grid:ToBattery(kw),REopt:Electricity:Storage:ToLoad(kw),REopt:Electricity:Storage:ToGrid(kw),REopt:Electricity:Storage:StateOfCharge(pct),REopt:ElectricityProduced:Generator:Total(kw),REopt:ElectricityProduced:Generator:ToBattery(kw),REopt:ElectricityProduced:Generator:ToLoad(kw),REopt:ElectricityProduced:Generator:ToGrid(kw),REopt:ElectricityProduced:PV:Total(kw),REopt:ElectricityProduced:PV:ToBattery(kw),REopt:ElectricityProduced:PV:ToLoad(kw),REopt:ElectricityProduced:PV:ToGrid(kw),REopt:ElectricityProduced:Wind:Total(kw),REopt:ElectricityProduced:Wind:ToBattery(kw),REopt:ElectricityProduced:Wind:ToLoad(kw),REopt:ElectricityProduced:Wind:ToGrid(kw),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1()
2019.0,120.77508669141992,0.0,147.03292353845615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.77508669141992,483.10034676567966,0.0,536.7781630729773,0.0,483.10034676567966,536.7781630729773,0.17111124948519496,0.7953009828470438,0.7953009828470438,0.6670039263730353,0.6514249973980603,5.6068751564442465,18.333792082622026,18.333792082622026,14.347551238919976,13.911824613195904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7707981834517044,0.7707981834517044,17.517987776000822,17.517987776000822,0.22550838136627285,0.2279561908263717,0.7916891018229019,0.7916891018229019,6.055039383137554,6.0781183152557645,18.211934251811797,18.211934251811797
2019.0,120.77508669141992,0.0,147.03292353845615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.77508669141992,483.10034676567966,0.0,536.7781630729773,0.0,483.10034676567966,536.7781630729773,0.17711828182449912,0.8453695704981977,0.8453695704981977,0.6678083569324041,0.6473970554194297,5.650291935636659,20.079680114416107,20.079680114416107,14.37033579441345,13.80087852258363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7698228744792363,0.7698228744792363,17.48604429379094,17.48604429379094,0.22974826443057314,0.23659065414927768,0.849875612814301,0.849875612814301,6.095174029030133,6.1615344561319745,20.241957059882367,20.241957059882367
2019.0,120.92987550308979,0.0,147.03292353845615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.92987550308979,483.71950201235916,0.0,537.4661133470656,0.0,483.71950201235916,537.4661133470656,0.15638252629388202,0.8456467669408386,0.8456467669408386,0.66787673785084,0.6396267375009945,5.506789437925846,20.089638435979424,20.089638435979424,14.372273896264403,13.588839486775782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759000026215076,0.759000026215076,17.134297661033074,17.134297661033074,0.20705208463593044,0.21440565671171075,0.85260612134674,0.85260612134674,5.88910970062642,5.95351145501283,20.34070238935226,20.34070238935226
2019.0,120.77508669141992,0.0,147.03292353845615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.77508669141992,483.10034676567966,0.0,536.7781630729773,0.0,483.10034676567966,536.7781630729773,0.14194297908156386,0.843929532198571,0.843929532198571,0.6675045369292995,0.629891136012038,5.417442923097482,20.02799806001819,20.02799806001819,14.361727154736428,13.326867079292555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7490350378166846,0.7490350378166846,16.81485974953395,16.81485974953395,0.19159294982448966,0.1968464325951264,0.8475573132246348,0.8475573132246348,5.7610980043064615,5.803479269189211,20.15836213286113,20.15836213286113
2019.0,140.07944719174077,0.0,220.54938530768425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.07944719174077,560.3177887669631,0.0,622.5753208521811,0.0,560.3177887669631,622.5753208521811,0.13908159279217033,0.8564055067518217,0.8564055067518217,0.6671868494660526,0.619500188528932,5.400768204539588,20.478617568914174,20.478617568914174,14.352729860179593,13.051796811291965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7456234040178988,0.7456234040178988,16.706473466433195,16.706473466433195,0.18811430510634222,0.19089681260646618,0.8567684468587214,0.8567684468587214,5.733669567211123,5.755568629806831,20.491823401827915,20.491823401827915
2019.0,139.9246718525651,0.0,220.54938530768425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.9246718525651,559.6986874102604,0.0,621.887430455845,0.0,559.6986874102604,621.887430455845,0.14545881261074217,0.8845948506184778,0.8845948506184778,0.6673735301900207,0.611630900582754,5.438398017539342,21.520508444018375,21.520508444018375,14.358016355338421,12.846597968166535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7519557459539287,0.7519557459539287,16.908045702683154,16.908045702683154,0.19460566387925163,0.19557409789016655,0.8857068358480981,0.8857068358480981,5.785261291281984,5.793109132588754,21.562277956754457,21.562277956754457
2019.0,140.07943369221903,0.0,220.54938530768425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.07943369221903,560.3177347688761,0.0,622.5752608543069,0.0,560.3177347688761,622.5752608543069,0.15230577434296716,0.9128810882361563,0.9128810882361563,0.6681268381240851,0.6063189861900524,5.480684347774712,22.59868594390666,22.59868594390666,14.379364145127226,12.709604321128978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7605386919118227,0.7605386919118227,17.183999770153292,17.183999770153292,0.20242952458082203,0.2034289193150041,0.9175582658103572,0.9175582658103572,5.849784368688745,5.858210732804011,22.7800880040691,22.7800880040691
2019.0,139.9246718525651,0.0,220.54938530768425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.9246718525651,559.6986874102604,0.0,621.887430455845,0.0,559.6986874102604,621.887430455845,0.15600575558110122,0.9332837363176235,0.9332837363176235,0.6691811902265182,0.6025040625043063,5.504347785105509,23.396433312344485,23.396433312344485,14.409284408264767,12.611973461502117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7661692660761261,0.7661692660761261,17.366741440256945,17.366741440256945,0.20694015345220446,0.20906992458935122,0.9441973851422797,0.9441973851422797,5.888146909587917,5.906556352814647,23.82998269156046,23.82998269156046
2019.0,120.92983500454558,0.0,147.03292353845615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.92983500454558,483.7193400181823,0.0,537.4659333535359,0.0,483.7193400181823,537.4659333535359,0.15724785354495333,0.9462969853077431,0.9462969853077431,0.6703428010945687,0.5995161203488819,5.51241955989677,23.913931872155345,23.913931872155345,14.442304172704624,12.535947669667806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7665652838563979,0.7665652838563979,17.379645253893656,17.379645253893656,0.20852506717126032,0.21156122419785955,0.9572951384044419,0.9572951384044419,5.901828609731126,5.9283317477073325,24.356516089113285,24.356516089113285
2019.0,120.77508669141992,0.0,147.03292353845615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.77508669141992,483.10034676567966,0.0,536.7781630729773,0.0,483.10034676567966,536.7781630729773,0.1540746739631834,0.9491986493090669,0.9491986493090669,0.6714152372010207,0.5965250141668468,5.4919262962852144,24.030236988659368,24.030236988659368,14.472840933551453,12.460229464615495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7588313952050675,0.7588313952050675,17.12885668187883,17.12885668187883,0.20546076018787918,0.20881983373282853,0.954403738791458,0.954403738791458,5.875470969814316,5.904384764614022,24.239700167282095,24.239700167282095
