Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/01/01 01:00:00,26.26310203080714,0,384.95654252130817,0,0,0,0,0,0,0,0,0,0,-0.4410433162947709,-0.4410433162947709,9.05795298864254,9.05795298864254,26.26310203080714,26.26310203080714,0.0,29.1812244786746,0.0,26.26310203080714,29.1812244786746
2019/01/01 02:00:00,16.971102516559785,0,27.805703645689885,0,0,0,0,0,0,0,0,0,0,-0.2958764290451776,-0.2958764290451776,6.8189535716295495,6.8189535716295495,16.971102516559785,16.971102516559785,0.0,18.856780573955316,0.0,16.971102516559785,18.856780573955316
2019/01/01 03:00:00,20.180867267387182,0,37.56317510147665,0,0,0,0,0,0,0,0,0,0,-0.295721698567106,-0.295721698567106,6.817044897417006,6.817044897417006,20.180867267387182,20.180867267387182,0.0,22.423185852652423,0.0,20.180867267387182,22.423185852652423
2019/01/01 04:00:00,16.971171966916163,0,25.042116734317766,0,0,0,0,0,0,0,0,0,0,-0.2867283645418176,-0.2867283645418176,6.707845463084581,6.707845463084581,16.971171966916163,16.971171966916163,0.0,18.856857741017958,0.0,16.971171966916163,18.856857741017958
2019/01/01 05:00:00,26.75561791103884,0,62.605291835794425,0,0,0,0,0,0,0,0,0,0,-0.2684664880790497,-0.2684664880790497,6.496606181971259,6.496606181971259,26.75561791103884,26.75561791103884,0.0,29.72846434559871,0.0,26.75561791103884,29.72846434559871
2019/01/01 06:00:00,50.236627917684295,0,150.2527004059066,0,0,0,0,0,0,0,0,0,0,-0.19698251159714528,-0.19698251159714528,5.804592384542843,5.804592384542843,50.236627917684295,50.236627917684295,0.0,55.81847546409366,0.0,50.236627917684295,55.81847546409366
2019/01/01 07:00:00,61.346499447713065,0,503.9587598205691,0,0,0,0,0,0,0,0,0,0,0.06625486246977137,0.06625486246977137,5.090887002029149,5.090887002029149,61.346499447713065,61.346499447713065,0.0,68.16277716412563,0.0,61.346499447713065,68.16277716412563
2019/01/01 08:00:00,116.27305085786357,0,838.4619697607981,0,0,0,0,0,0,0,0,0,0,0.224438428894853,0.224438428894853,6.045030348805,6.045030348805,116.27305085786357,116.27305085786357,0.0,129.19227873095952,0.0,116.27305085786357,129.19227873095952
2019/01/01 09:00:00,118.13629685696873,0,909.1386883888894,0,0,0,0,0,0,0,0,0,0,-0.21542249244513823,-0.21542249244513823,5.96259497980725,5.96259497980725,118.13629685696873,118.13629685696873,0.0,131.26255206329859,0.0,118.13629685696873,131.26255206329859
2019/01/01 10:00:00,124.06210919820579,0,882.6043229458179,0,0,0,0,0,0,0,0,0,0,-0.3122498506939677,-0.3122498506939677,7.02664897821559,7.02664897821559,124.06210919820579,124.06210919820579,0.0,137.84678799800642,0.0,124.06210919820579,137.84678799800642
